Type,MarketName,MarketHashName,Marketable,Exterior,ItemSet,Quality,Rarity,Weapon,LowestPrice,MedianPrice,Volume,Currency
High Grade Music Kit,"Music Kit | Valve, CS:GO","Music Kit | Valve, CS:GO",No,,,Normal,High Grade,,,,,
Extraordinary Collectible,Global Offensive Badge,Global Offensive Badge,No,,,Normal,Extraordinary,,,,,
Consumer Grade Shotgun,XM1014 | Blue Spruce (Field-Tested),XM1014 | Blue Spruce (Field-Tested),Yes,Field-Tested,The Lake Collection,Normal,Consumer Grade,XM1014,$0.04,$0.02,696,USD
Consumer Grade Shotgun,Nova | Polar Mesh (Field-Tested),Nova | Polar Mesh (Field-Tested),Yes,Field-Tested,The Train Collection,Normal,Consumer Grade,Nova,$0.07,$0.05,393,USD
Base Grade Graffiti,Sealed Graffiti | Keep the Change (Cash Green),Sealed Graffiti | Keep the Change (Cash Green),Yes,,,Normal,Base Grade,,$0.05,$0.03,204,USD
Extraordinary Collectible,5 Year Veteran Coin,5 Year Veteran Coin,No,,,Normal,Extraordinary,,,,,
Base Grade Graffiti,Sealed Graffiti | Speechless (Princess Pink),Sealed Graffiti | Speechless (Princess Pink),Yes,,,Normal,Base Grade,,$0.04,$0.03,28,USD
Extraordinary Collectible,2020 Service Medal,2020 Service Medal,No,,,Normal,Extraordinary,,,,,
Base Grade Graffiti,Sealed Graffiti | Noscope (Tiger Orange),Sealed Graffiti | Noscope (Tiger Orange),Yes,,,Normal,Base Grade,,$0.04,$0.02,73,USD
Base Grade Graffiti,Sealed Graffiti | Eco (Monster Purple),Sealed Graffiti | Eco (Monster Purple),Yes,,,Normal,Base Grade,,$0.04,$0.05,33,USD
Base Grade Graffiti,Sealed Graffiti | Karambit (Blood Red),Sealed Graffiti | Karambit (Blood Red),Yes,,,Normal,Base Grade,,$0.04,$0.02,36,USD
Base Grade Graffiti,Sealed Graffiti | Mr. Teeth (Cash Green),Sealed Graffiti | Mr. Teeth (Cash Green),Yes,,,Normal,Base Grade,,$0.05,$0.02,138,USD
Base Grade Graffiti,Sealed Graffiti | Take Flight (Battle Green),Sealed Graffiti | Take Flight (Battle Green),Yes,,,Normal,Base Grade,,$0.04,$0.03,66,USD
Base Grade Graffiti,Sealed Graffiti | Double (Tiger Orange),Sealed Graffiti | Double (Tiger Orange),Yes,,,Normal,Base Grade,,$0.04,$0.02,56,USD
Base Grade Graffiti,Sealed Graffiti | GLHF (Shark White),Sealed Graffiti | GLHF (Shark White),Yes,,,Normal,Base Grade,,$0.04,$0.02,36,USD
Extraordinary Collectible,Loyalty Badge,Loyalty Badge,No,,,Normal,Extraordinary,,,,,
Base Grade Graffiti,Sealed Graffiti | Tombstone (Dust Brown),Sealed Graffiti | Tombstone (Dust Brown),Yes,,,Normal,Base Grade,,$0.05,$0.02,32,USD
Base Grade Graffiti,Sealed Graffiti | Lambda (Wire Blue),Sealed Graffiti | Lambda (Wire Blue),Yes,,,Normal,Base Grade,,$0.04,$0.02,69,USD
Base Grade Graffiti,Sealed Graffiti | QQ (Blood Red),Sealed Graffiti | QQ (Blood Red),Yes,,,Normal,Base Grade,,$0.04,$0.03,33,USD
Base Grade Graffiti,Sealed Graffiti | Ninja (Jungle Green),Sealed Graffiti | Ninja (Jungle Green),Yes,,,Normal,Base Grade,,$0.04,$0.03,36,USD
Base Grade Graffiti,Graffiti | X-Knives (Monarch Blue),Graffiti | X-Knives (Monarch Blue),No,,,Normal,Base Grade,,,,,
Base Grade Graffiti,Sealed Graffiti | Still Happy (Desert Amber),Sealed Graffiti | Still Happy (Desert Amber),Yes,,,Normal,Base Grade,,$0.04,$0.02,82,USD
Base Grade Graffiti,Sealed Graffiti | QQ (War Pig Pink),Sealed Graffiti | QQ (War Pig Pink),Yes,,,Normal,Base Grade,,$0.04,$0.03,23,USD
Extraordinary Collectible,2018 Service Medal,2018 Service Medal,No,,,Normal,Extraordinary,,,,,
Base Grade Graffiti,Graffiti | Take Flight (War Pig Pink),Graffiti | Take Flight (War Pig Pink),No,,,Normal,Base Grade,,,,,
Base Grade Graffiti,Graffiti | Toasted (Tracer Yellow),Graffiti | Toasted (Tracer Yellow),No,,,Normal,Base Grade,,,,,
Base Grade Graffiti,Graffiti | NaCl (Shark White),Graffiti | NaCl (Shark White),No,,,Normal,Base Grade,,,,,
Base Grade Graffiti,Graffiti | Heart (Brick Red),Graffiti | Heart (Brick Red),No,,,Normal,Base Grade,,,,,
Base Grade Graffiti,Graffiti | Popdog (Battle Green),Graffiti | Popdog (Battle Green),No,,,Normal,Base Grade,,,,,
Base Grade Graffiti,Graffiti | Death Sentence (Princess Pink),Graffiti | Death Sentence (Princess Pink),No,,,Normal,Base Grade,,,,,
Base Grade Graffiti,Graffiti | Cocky (Bazooka Pink),Graffiti | Cocky (Bazooka Pink),No,,,Normal,Base Grade,,,,,
Base Grade Graffiti,Graffiti | GLHF (Jungle Green),Graffiti | GLHF (Jungle Green),No,,,Normal,Base Grade,,,,,
